cell,epoch,condition
5862fd5a-149c-4257-a4eb-010c926c03c2,2,cr
5862fd5a-149c-4257-a4eb-010c926c03c2,3,cr
5862fd5a-149c-4257-a4eb-010c926c03c2,5,cr
e5c4b412-f5ed-4292-9883-5db75dad27c8,2,cr
e5c4b412-f5ed-4292-9883-5db75dad27c8,3,cr
e5c4b412-f5ed-4292-9883-5db75dad27c8,4,cr
c81a643a-14a0-4c94-bc01-584fc5a30b37,2,cr
c81a643a-14a0-4c94-bc01-584fc5a30b37,3,cr
65d810a4-4701-43a1-81b3-029152435e44,2,cr
65d810a4-4701-43a1-81b3-029152435e44,3,cr
65d810a4-4701-43a1-81b3-029152435e44,4,cr
65d810a4-4701-43a1-81b3-029152435e44,5,cr
363eeac0-caec-4227-b858-46a6392075e6,2,cr
363eeac0-caec-4227-b858-46a6392075e6,3,cr
363eeac0-caec-4227-b858-46a6392075e6,4,cr
aca29a76-0ddd-41ca-85c1-dde2150fc6b1,1,cr
aca29a76-0ddd-41ca-85c1-dde2150fc6b1,3,cr
aca29a76-0ddd-41ca-85c1-dde2150fc6b1,4,cr
aca29a76-0ddd-41ca-85c1-dde2150fc6b1,7,cr
a85d902c-8b26-4d59-a948-f9c460716803,2,cr
a85d902c-8b26-4d59-a948-f9c460716803,3,cr
0b0b579e-bbe2-4cde-a8b4-00f5208196f0,4,cr
0b0b579e-bbe2-4cde-a8b4-00f5208196f0,5,cr
0b0b579e-bbe2-4cde-a8b4-00f5208196f0,6,cr
d0bf0c0e-4625-4ba3-adc2-46f0e638ba7d,2,cr
d0bf0c0e-4625-4ba3-adc2-46f0e638ba7d,3,cr
d0bf0c0e-4625-4ba3-adc2-46f0e638ba7d,4,cr
d0bf0c0e-4625-4ba3-adc2-46f0e638ba7d,5,cr
d0bf0c0e-4625-4ba3-adc2-46f0e638ba7d,6,cr
d0bf0c0e-4625-4ba3-adc2-46f0e638ba7d,7,cr
ac53609a-4563-4777-bb2a-83d7eadc7171,2,cr
ac53609a-4563-4777-bb2a-83d7eadc7171,3,cr
01168501-2cf0-4358-8511-8e5fe8fe1782,3,cr
01168501-2cf0-4358-8511-8e5fe8fe1782,4,cr
01168501-2cf0-4358-8511-8e5fe8fe1782,5,cr
01168501-2cf0-4358-8511-8e5fe8fe1782,6,cr
01168501-2cf0-4358-8511-8e5fe8fe1782,7,cr
537694a8-3e23-4d08-98ca-634db7a9852c,3,cr
537694a8-3e23-4d08-98ca-634db7a9852c,4,cr
537694a8-3e23-4d08-98ca-634db7a9852c,5,cr
537694a8-3e23-4d08-98ca-634db7a9852c,6,cr
537694a8-3e23-4d08-98ca-634db7a9852c,7,cr
3e71b764-c095-43f9-837c-71aa7c33e76f,3,cr
3e71b764-c095-43f9-837c-71aa7c33e76f,4,cr
3e71b764-c095-43f9-837c-71aa7c33e76f,5,cr
c2d2838b-4711-463f-98af-0b7a4afceec0,3,cr
c2d2838b-4711-463f-98af-0b7a4afceec0,4,cr
328b1402-44c0-4657-83f3-f77f12fed690,3,cr
328b1402-44c0-4657-83f3-f77f12fed690,4,cr
328b1402-44c0-4657-83f3-f77f12fed690,5,cr
328b1402-44c0-4657-83f3-f77f12fed690,6,cr
328b1402-44c0-4657-83f3-f77f12fed690,7,cr
e26de824-e654-4f8e-97d4-5874d0c63548,3,cr
e26de824-e654-4f8e-97d4-5874d0c63548,4,cr
e26de824-e654-4f8e-97d4-5874d0c63548,5,cr
e26de824-e654-4f8e-97d4-5874d0c63548,6,cr
2d21b861-a27b-4545-884a-69ee30c73620,3,cr
2d21b861-a27b-4545-884a-69ee30c73620,4,cr
2d21b861-a27b-4545-884a-69ee30c73620,5,cr
2d21b861-a27b-4545-884a-69ee30c73620,6,cr
2d21b861-a27b-4545-884a-69ee30c73620,7,cr
2d21b861-a27b-4545-884a-69ee30c73620,8,cr
21f82c25-c95c-4245-b15e-4f9fb2c234a1,3,cr
21f82c25-c95c-4245-b15e-4f9fb2c234a1,4,cr
21f82c25-c95c-4245-b15e-4f9fb2c234a1,5,cr
21f82c25-c95c-4245-b15e-4f9fb2c234a1,6,cr
dcdcb067-3710-4982-af1e-fc18da4725c3,3,cr
dcdcb067-3710-4982-af1e-fc18da4725c3,4,cr
dcdcb067-3710-4982-af1e-fc18da4725c3,5,cr
dcdcb067-3710-4982-af1e-fc18da4725c3,6,cr
dcdcb067-3710-4982-af1e-fc18da4725c3,7,cr
e90fda4c-b4e3-40f0-addb-fa86a3acc480,3,cr
e90fda4c-b4e3-40f0-addb-fa86a3acc480,4,cr
e90fda4c-b4e3-40f0-addb-fa86a3acc480,5,cr
7fb68455-ce16-4f65-9aff-75880a9ad4c8,3,cr
7fb68455-ce16-4f65-9aff-75880a9ad4c8,4,cr
7fb68455-ce16-4f65-9aff-75880a9ad4c8,5,cr
85f27ccf-3cc3-4e1b-9bdc-ad447a198abf,5,cr
85f27ccf-3cc3-4e1b-9bdc-ad447a198abf,8,cr
76376398-bfe0-4159-9dd8-deb0effbd9bf,8,cr
76376398-bfe0-4159-9dd8-deb0effbd9bf,10,cr
76376398-bfe0-4159-9dd8-deb0effbd9bf,11,cr
76376398-bfe0-4159-9dd8-deb0effbd9bf,12,cr
e38d9f4b-05ad-47aa-8516-485162844de9,2,noinj
e38d9f4b-05ad-47aa-8516-485162844de9,4,noinj
9837d093-9660-487b-b08c-efa51dad132b,2,noinj
9837d093-9660-487b-b08c-efa51dad132b,4,noinj
dbc425bc-a2a9-4a6c-a569-b3c111f3940b,2,noinj
dbc425bc-a2a9-4a6c-a569-b3c111f3940b,4,noinj
14f34bce-50e9-4abd-a81b-42693414c63f,2,noinj
14f34bce-50e9-4abd-a81b-42693414c63f,4,noinj
91db0728-c3ea-480c-a546-0d7dee8fcd39,4,noinj
91db0728-c3ea-480c-a546-0d7dee8fcd39,5,noinj
c336519e-21a2-4ab6-96d9-7adbbe4d5d3d,2,noinj
c336519e-21a2-4ab6-96d9-7adbbe4d5d3d,4,noinj
da1f35c8-91f1-4d65-bd80-6a1523b97e43,2,noinj
da1f35c8-91f1-4d65-bd80-6a1523b97e43,4,noinj
12722d3f-8288-426e-87dd-5bcb7d5282b3,3,noinj
12722d3f-8288-426e-87dd-5bcb7d5282b3,6,noinj
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,5,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,6,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,7,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,8,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,9,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,11,pr
1b54a0c7-6506-4549-8e7a-d7f1b8badc85,12,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,4,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,5,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,6,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,7,pr
4fbe337f-f0bb-4d31-a94e-bf836cc4cd3e,8,pr
